id,Butterfinger,100 Grand Bar,Anonymous brown globs that come in black and orange wrappers,Any full-sized candy bar,Black Jacks,Bonkers,Bottle Caps,Box'o' Raisins,Brach products (not including candy corn),Bubble Gum,Cadbury Creme Eggs,Candy Corn,"Vials of pure high fructose corn syrup, for main-lining into your vein",Candy that is clearly just the stuff given out for free at restaurants,"Cash, or other forms of legal tender",Chiclets,Caramellos,Snickers,Dark Chocolate Hershey,Dental paraphenalia,Dots,Fuzzy Peaches,Generic Brand Acetaminophen,Glow sticks,Broken glow stick,Goo Goo Clusters,Good N' Plenty,Gum from baseball cards,Gummy Bears straight up,Creepy Religious comics/Chick Tracts,Healthy Fruit,Heath Bar,Hershey's Kissables,Hershey's Milk Chocolate,Hugs (actual physical hugs),Jolly Rancher (bad flavor),Jolly Ranchers (good flavor),Kale smoothie,Kinder Happy Hippo,Kit Kat,Hard Candy,Lapel Pins,LemonHeads,Licorice,Licorice (not black),Lindt Truffle,Lollipops,Mars,Mary Janes,Maynards,Milk Duds,LaffyTaffy,Minibags of chips,JoyJoy (Mit Iodine),Reggie Jackson Bar,Pixy Stix,Nerds,Nestle Crunch,Now'n'Laters,Pencils,Milky Way,Reese's Peanut Butter Cups,Tolberone something or other,Runts,Junior Mints,Senior Mints,Mint Kisses,Mint Juleps,Mint Leaves,Peanut M&M's,Regular M&Ms,Mint M&Ms,Ribbon candy,Rolos,Skittles,Smarties (American),Smarties (Commonwealth),Chick-o-Sticks (we don't know what that is),Spotted Dick,Starburst,Swedish Fish,Sweetums,Those odd marshmallow circus peanut things,Three Musketeers,Peterson Brand Sidewalk Chalk,Peanut Butter Bars,Peanut Butter Jars,Trail Mix,Twix,Vicodin,White Bread,Whole Wheat anything,York Peppermint Patties,"Sea-salt flavored stuff, probably chocolate, since this is the 'it' flavor of the year",Necco Wafers
ID5369,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY
ID5370,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,NA,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,NA,JOY,JOY,NA,JOY,NA,NA,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,NA,NA,JOY,NA,JOY,JOY,NA,NA,NA,NA,NA,JOY,DESPAIR,JOY,JOY,JOY,NA,NA,NA,DESPAIR,JOY,JOY,NA,NA,NA,JOY,JOY,JOY,JOY,JOY,JOY,NA,NA,JOY,NA,NA,NA,NA,DESPAIR,JOY,JOY,NA,NA,JOY,JOY,NA,DESPAIR,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,NA,NA,NA,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY
ID5371,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,NA,JOY,DESPAIR
ID5372,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,NA,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY
ID5373,JOY,JOY,DESPAIR,JOY,NA,NA,NA,DESPAIR,NA,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,NA,JOY,JOY,JOY,NA,DESPAIR,NA,NA,JOY,DESPAIR,NA,NA,JOY,JOY,DESPAIR,NA,NA,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,NA,JOY,JOY,NA,NA,DESPAIR,DESPAIR,JOY,JOY,NA,NA,NA,JOY,JOY,JOY,NA,NA,DESPAIR,DESPAIR,JOY,NA,NA,JOY,JOY,JOY,NA,JOY,NA,JOY,NA,NA,JOY,JOY,JOY,NA,JOY,JOY,JOY,JOY,NA,NA,JOY,JOY,NA,NA,JOY,NA,JOY,NA,NA,JOY,NA,NA,NA,JOY,JOY,NA
ID5374,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY
ID5375,NA,JOY,DESPAIR,JOY,DESPAIR,NA,DESPAIR,DESPAIR,NA,JOY,JOY,DESPAIR,NA,DESPAIR,JOY,NA,JOY,JOY,JOY,DESPAIR,NA,NA,DESPAIR,JOY,DESPAIR,NA,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,NA,NA,NA,JOY,JOY,DESPAIR,NA,JOY,JOY,JOY,NA,DESPAIR,JOY,JOY,NA,NA,JOY,NA,JOY,JOY,NA,DESPAIR,NA,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,NA,JOY,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,NA,NA,DESPAIR,JOY,DESPAIR,NA,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5376,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY
ID5377,DESPAIR,JOY,DESPAIR,JOY,NA,NA,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,NA,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,NA,DESPAIR,JOY,JOY,NA,DESPAIR,JOY,JOY,JOY,NA,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,NA,NA,NA,JOY,JOY,DESPAIR,NA,JOY,NA,NA,NA,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5378,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR
ID5379,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5380,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5381,JOY,JOY,DESPAIR,NA,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR
ID5382,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,NA,JOY,DESPAIR,DESPAIR,JOY,NA,DESPAIR,JOY,NA,JOY,JOY,NA,NA,NA,NA,DESPAIR,NA,DESPAIR,NA,JOY,DESPAIR,NA,DESPAIR,DESPAIR,NA,JOY,JOY,DESPAIR,DESPAIR,NA,DESPAIR,NA,JOY,NA,DESPAIR,JOY,JOY,JOY,JOY,NA,JOY,NA,NA,JOY,NA,NA,NA,NA,JOY,JOY,JOY,DESPAIR,NA,JOY,JOY,JOY,JOY,JOY,NA,NA,NA,NA,JOY,JOY,NA,NA,JOY,JOY,JOY,JOY,NA,DESPAIR,NA,JOY,NA,JOY,NA,NA,NA,NA,NA,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,NA,JOY
ID5383,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5384,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5385,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,NA,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5386,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY
ID5387,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,NA,NA,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR
ID5388,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR
ID5389,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY
ID5390,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR
ID5391,JOY,DESPAIR,DESPAIR,NA,DESPAIR,DESPAIR,NA,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,NA,DESPAIR,JOY,NA,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,NA,JOY,DESPAIR,DESPAIR,NA,DESPAIR,DESPAIR,DESPAIR,NA,NA,NA,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,NA,DESPAIR,JOY
ID5392,NA,NA,NA,JOY,JOY,NA,NA,NA,DESPAIR,DESPAIR,JOY,JOY,NA,NA,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,NA,NA,NA,JOY,NA,NA,NA,NA,NA,DESPAIR,DESPAIR,NA,JOY,JOY,NA,NA,NA,NA,JOY,NA,JOY,NA,JOY,JOY,JOY,JOY,NA,NA,NA,NA,JOY,NA,NA,NA,NA,NA,NA,NA,NA,NA,JOY,JOY,JOY,NA,NA,NA,NA,NA,NA,JOY,NA,JOY,JOY,JOY,NA,NA,JOY,NA,NA,NA,NA,NA,NA,NA,NA,JOY,NA,NA,NA,JOY,NA,NA,JOY,JOY,NA
ID5393,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY
